stamp,id,x,y,z,intensity,time,ring
1782434556.015004,1,0.649467,-0.321974,0.301169,161.000000,14.033076,3
1782434556.015004,1,0.595911,-0.294510,0.299629,162.000000,14.033099,3
1782434556.015004,1,0.542801,-0.267528,0.295129,171.000000,14.033122,3
1782434556.015004,1,0.513330,-0.252084,0.299089,179.000000,14.033145,3
1782434556.015004,1,0.484819,-0.237242,0.301917,177.000000,14.033168,3
1782434556.015004,1,0.448428,-0.218825,0.298706,178.000000,14.033191,3
1782434556.015004,1,0.419634,-0.204154,0.297843,178.000000,14.033214,3
1782434556.015004,1,0.421759,-0.204051,0.314970,202.000000,14.033237,3
1782434556.015004,1,0.407890,-0.196510,0.321916,191.000000,14.033259,3
1782434556.015004,1,0.416046,-0.199197,0.344018,193.000000,14.033282,3
1782434556.015004,1,0.430931,-0.204919,0.372412,213.000000,14.033305,3
1782434556.015004,1,0.423419,-0.200341,0.384789,178.000000,14.033328,3
1782434556.015004,1,0.422105,-0.198603,0.402411,126.000000,14.033351,3
1782434556.015004,1,0.434409,-0.202999,0.432747,178.000000,14.033374,3
1782434556.015004,1,0.425442,-0.197788,0.445164,196.000000,14.033397,3
1782434556.015004,1,0.506471,-0.232674,0.546291,163.000000,14.033420,3
1782434556.015004,1,0.500795,-0.228739,0.566902,181.000000,14.033442,3
1782434556.015004,1,0.495117,-0.224815,0.588204,206.000000,14.033465,3
1782434556.015004,1,0.476134,-0.215093,0.594997,208.000000,14.033488,3
1782434556.015004,1,0.451610,-0.203055,0.594365,215.000000,14.033511,3
1782434556.015004,1,0.427407,-0.191276,0.592691,213.000000,14.033534,3
